gene,frequency
Mmp2,0.0
mnd,0.0
mof,0.0
mol,0.0
moody,0.0
mor,0.0
Mp,0.0
LUBEL,0.0
Lim3,0.0
Liprin-beta,0.0
List,0.0
Lk,0.0
LKRSDH,0.0
Lmpt,0.0
Lmx1a,0.0
mab-21,0.0
mAChR-A,0.0
LpR1,0.0
Lpt,0.0
LRP1,0.0
LRR,0.0
Lsm10,0.0
lt,0.0
Mal-A5,0.0
Map60,0.0
Mau2,0.0
MBD-like,0.0
mbl,0.0
lz,0.0
m,0.0
M6,0.0
mt:tRNA:Cys-GCA,0.0
Mur2B,0.0
mthl1,0.0
MtnA,0.0
msl-3,0.0
mspo,0.0
c(3)G,0.0
CadN2,0.0
mei-218,0.0
mei-W68,0.0
Mekk1,0.0
Membrin,0.0
MtnE,0.0
MTPAP,0.0
mtt,0.0
mt:tRNA:Arg-TCG,0.0
mfas,0.0
MFS9,0.0
Mgat1,0.0
mgl,0.0
mi,0.0
MCPH1,0.0
Med,0.0
MED6,0.0
mid,0.0
Mip,0.0
mip120,0.0
Mitf,0.0
Mkp3,0.0
mld,0.0
Mesh1,0.0
MESR3,0.0
CG10336,0.0
CG10352,0.0
Msr-110,0.0
MsR2,0.0
MTF-1,0.0
mth,0.0
MP1,0.0
Mps1,0.0
CG10863,0.0
CG10433,0.0
CG10435,0.0
CG10508,0.0
CG10514,0.0
CG10516,0.0
CG10550,0.0
CG10324,0.0
bru2,0.0
bru3,0.0
CG10650,0.0
CG10680,0.0
CG10710,0.0
CG10795,0.0
CG10799,0.0
CG10804,0.0
CAH1,0.0
Calx,0.0
brat,0.0
Brd8,0.0
Bre1,0.0
Brf,0.0
brk,0.0
bru1,0.0
Myo95E,0.0
MYPT-75D,0.0
N,0.0
Naa60,0.0
nrm,0.0
nrv1,0.0
nrv2,0.0
Nsun2,0.0
nAChRalpha6,0.0
nAChRalpha7,0.0
Nadsyn,0.0
natalisin,0.0
Ndae1,0.0
mus101,0.0
myo,0.0
Myo31DF,0.0
Ndc1,0.0
